timestamp	func	file	score	reason	commit	candidate	score_kind
2026-08-05T21:02:43+00:00	func_080ED380	asm/asm_080ed380.s	22.2	isolated_mismatch	7b1f7d30c07153af889a5829a1fa5cb743b1033e	.mizuchi-tmp/round-0805-candidates/func_080ED380.c	isolated_objdiff_gap
2026-08-05T21:02:43+00:00	func_080F1574	asm/asm_080f1574.s	23.888885	isolated_mismatch	7b1f7d30c07153af889a5829a1fa5cb743b1033e	.mizuchi-tmp/round-0805-candidates/func_080F1574.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_080020FC	asm/asm_080020fc.s	74.0	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080020FC.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_080047D4	asm/asm_080047d4.s	28.57143	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080047D4.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_0804E290	asm/asm_0804e290.s	45.22222	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_0804E290.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080E1F48	asm/asm_080e1f48.s	20.1	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080E1F48.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080ED380	asm/asm_080ed380.s	22.2	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080ED380.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080F1574	asm/asm_080f1574.s	23.888885	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080F1574.c	isolated_objdiff_gap
2026-08-05T21:15:48+00:00	func_08003DE0	asm/asm_08003de0.s	15.71429	isolated_mismatch	ffa7eb5f11bea165dc12f9b9e5d1c496a934f74c	.mizuchi-tmp/round-0805b-candidates/func_08003DE0.c	isolated_objdiff_gap
2026-08-05T21:15:48+00:00	func_08035FEC	asm/asm_08035fec.s	26.666664	isolated_mismatch	ffa7eb5f11bea165dc12f9b9e5d1c496a934f74c	.mizuchi-tmp/round-0805b-candidates/func_08035FEC.c	isolated_objdiff_gap
2026-08-05T21:21:53+00:00	func_08003DE0	asm/asm_08003de0.s	15.71429	isolated_mismatch	ef8e6ca8b938f9fba40a349fb140471ce3727d9d	.mizuchi-tmp/round-0805b-candidates/func_08003DE0.c	isolated_objdiff_gap
2026-08-05T21:21:54+00:00	func_08035FEC	asm/asm_08035fec.s	26.666664	isolated_mismatch	ef8e6ca8b938f9fba40a349fb140471ce3727d9d	.mizuchi-tmp/round-0805b-candidates/func_08035FEC.c	isolated_objdiff_gap
2026-08-05T21:57:55+00:00	func_08011864	asm/scenes/main_menu/asm_08011864.s	43.444443	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08011864.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_0801216C	asm/scenes/main_menu/asm_0801216c.s	6.911766	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801216c.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	15.94444	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T21:57:57+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_08011864	asm/scenes/main_menu/asm_08011864.s	58.296295	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08011864.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_0801216C	asm/scenes/main_menu/asm_0801216c.s	11.911766	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801216c.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	0.27778	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T21:59:55+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T21:59:55+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	0.27778	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T22:21:11+00:00	func_0805627C	asm/asm_0805627c.s	42.272728	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_0805627C.c	isolated_objdiff_gap
2026-08-05T22:21:11+00:00	func_080A002C	asm/asm_080a002c.s	40.0	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_080A002C.c	isolated_objdiff_gap
2026-08-05T22:21:12+00:00	func_080F5FF4	asm/asm_080f5ff4.s	100.0	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_080F5FF4.c	isolated_objdiff_gap
2026-08-05T22:30:56+00:00	func_080A002C	asm/asm_080a002c.s	40.0	isolated_mismatch	580ab37806632b8492cee93cb1b071848b6f64fc	.mizuchi-tmp/round-30-c/func_080A002C-a.c	isolated_objdiff_gap
2026-08-05T22:30:57+00:00	func_080F5FF4	asm/asm_080f5ff4.s	10.5	isolated_mismatch	580ab37806632b8492cee93cb1b071848b6f64fc	.mizuchi-tmp/round-30-c/func_080F5FF4-a.c	isolated_objdiff_gap
