timestamp	func	file	score	reason	commit	candidate	score_kind
2026-08-05T21:02:43+00:00	func_080ED380	asm/asm_080ed380.s	22.2	isolated_mismatch	7b1f7d30c07153af889a5829a1fa5cb743b1033e	.mizuchi-tmp/round-0805-candidates/func_080ED380.c	isolated_objdiff_gap
2026-08-05T21:02:43+00:00	func_080F1574	asm/asm_080f1574.s	23.888885	isolated_mismatch	7b1f7d30c07153af889a5829a1fa5cb743b1033e	.mizuchi-tmp/round-0805-candidates/func_080F1574.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_080020FC	asm/asm_080020fc.s	74.0	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080020FC.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_080047D4	asm/asm_080047d4.s	28.57143	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080047D4.c	isolated_objdiff_gap
2026-08-05T21:04:27+00:00	func_0804E290	asm/asm_0804e290.s	45.22222	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_0804E290.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080E1F48	asm/asm_080e1f48.s	20.1	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080E1F48.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080ED380	asm/asm_080ed380.s	22.2	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080ED380.c	isolated_objdiff_gap
2026-08-05T21:04:28+00:00	func_080F1574	asm/asm_080f1574.s	23.888885	isolated_mismatch	7fc39b2e38d85cb6e15e183cd5405e463f5499b3	.mizuchi-tmp/round-0805-candidates/func_080F1574.c	isolated_objdiff_gap
2026-08-05T21:15:48+00:00	func_08003DE0	asm/asm_08003de0.s	15.71429	isolated_mismatch	ffa7eb5f11bea165dc12f9b9e5d1c496a934f74c	.mizuchi-tmp/round-0805b-candidates/func_08003DE0.c	isolated_objdiff_gap
2026-08-05T21:15:48+00:00	func_08035FEC	asm/asm_08035fec.s	26.666664	isolated_mismatch	ffa7eb5f11bea165dc12f9b9e5d1c496a934f74c	.mizuchi-tmp/round-0805b-candidates/func_08035FEC.c	isolated_objdiff_gap
2026-08-05T21:21:53+00:00	func_08003DE0	asm/asm_08003de0.s	15.71429	isolated_mismatch	ef8e6ca8b938f9fba40a349fb140471ce3727d9d	.mizuchi-tmp/round-0805b-candidates/func_08003DE0.c	isolated_objdiff_gap
2026-08-05T21:21:54+00:00	func_08035FEC	asm/asm_08035fec.s	26.666664	isolated_mismatch	ef8e6ca8b938f9fba40a349fb140471ce3727d9d	.mizuchi-tmp/round-0805b-candidates/func_08035FEC.c	isolated_objdiff_gap
2026-08-05T21:57:55+00:00	func_08011864	asm/scenes/main_menu/asm_08011864.s	43.444443	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08011864.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_0801216C	asm/scenes/main_menu/asm_0801216c.s	6.911766	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801216c.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	15.94444	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T21:57:56+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T21:57:57+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_08011864	asm/scenes/main_menu/asm_08011864.s	58.296295	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08011864.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_0801216C	asm/scenes/main_menu/asm_0801216c.s	11.911766	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801216c.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	0.27778	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T21:59:54+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T21:59:55+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T21:59:55+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	82a85b07f0ca27066f81b9a998414361fe5dc5de	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_080122FC	asm/scenes/main_menu/asm_080122fc.s	0.27778	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_080122fc.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_0801312C	asm/scenes/main_menu/asm_0801312c.s	0.4054	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_0801312c.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_080148EC	asm/scenes/main_menu/asm_080148ec.s	0.38461	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_080148ec.c	isolated_objdiff_gap
2026-08-05T22:03:07+00:00	func_08014C9C	asm/scenes/main_menu/asm_08014c9c.s	0.38461	isolated_mismatch	d7f9d29a30fed6927b824fad21b96831f9b2af3c	.mizuchi-tmp/round-25-a/func_08014c9c.c	isolated_objdiff_gap
2026-08-05T22:21:11+00:00	func_0805627C	asm/asm_0805627c.s	42.272728	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_0805627C.c	isolated_objdiff_gap
2026-08-05T22:21:11+00:00	func_080A002C	asm/asm_080a002c.s	40.0	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_080A002C.c	isolated_objdiff_gap
2026-08-05T22:21:12+00:00	func_080F5FF4	asm/asm_080f5ff4.s	100.0	isolated_mismatch	ec2a870b9fef4915afde854ad2acb4107a55950e	.mizuchi-tmp/round-30-b/func_080F5FF4.c	isolated_objdiff_gap
2026-08-05T22:30:56+00:00	func_080A002C	asm/asm_080a002c.s	40.0	isolated_mismatch	580ab37806632b8492cee93cb1b071848b6f64fc	.mizuchi-tmp/round-30-c/func_080A002C-a.c	isolated_objdiff_gap
2026-08-05T22:30:57+00:00	func_080F5FF4	asm/asm_080f5ff4.s	10.5	isolated_mismatch	580ab37806632b8492cee93cb1b071848b6f64fc	.mizuchi-tmp/round-30-c/func_080F5FF4-a.c	isolated_objdiff_gap
2026-08-05T22:42:47+00:00	func_080042F4	asm/asm_080042f4.s	1.0	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_080042F4.c	isolated_objdiff_gap
2026-08-05T22:42:47+00:00	func_080043B8	asm/asm_080043b8.s	0.166664	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_080043B8.c	isolated_objdiff_gap
2026-08-05T22:42:47+00:00	func_080049A4	asm/asm_080049a4.s	0.90909	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_080049A4.c	isolated_objdiff_gap
2026-08-05T22:42:47+00:00	func_08007FC0	asm/asm_08007fc0.s	10.0	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_08007FC0.c	isolated_objdiff_gap
2026-08-05T22:42:47+00:00	func_0801E44C	asm/asm_0801e44c.s	18.916664	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_0801E44C.c	isolated_objdiff_gap
2026-08-05T22:42:48+00:00	func_080F2FFC	asm/asm_080f2ffc.s	1.07143	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_080F2FFC.c	isolated_objdiff_gap
2026-08-05T22:45:36+00:00	func_080042F4	asm/asm_080042f4.s	76.0	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_080042F4-v2.c	isolated_objdiff_gap
2026-08-05T22:45:36+00:00	func_08007FC0	asm/asm_08007fc0.s	18.75	isolated_mismatch	69bfe916256f11b94cccd41aa831ab8ee490916f	.mizuchi-tmp/round-30-d/func_08007FC0-v2.c	isolated_objdiff_gap
2026-08-05T23:03:04+00:00	func_08004BD4	asm/asm_08004bd4.s	8.0	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_08004BD4.c	isolated_objdiff_gap
2026-08-05T23:03:04+00:00	func_0800557C	asm/asm_0800557c.s	8.0	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_0800557C.c	isolated_objdiff_gap
2026-08-05T23:03:04+00:00	func_08006B68	asm/asm_08006b68.s	21.42857	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_08006B68.c	isolated_objdiff_gap
2026-08-05T23:03:05+00:00	func_08006B90	asm/asm_08006b90.s	5.882355	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_08006B90.c	isolated_objdiff_gap
2026-08-05T23:03:05+00:00	func_08006F04	asm/asm_08006f04.s	14.28571	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_08006F04.c	isolated_objdiff_gap
2026-08-05T23:03:05+00:00	func_0800CD94	asm/asm_0800cd94.s	0.166664	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-a/func_0800CD94.c	isolated_objdiff_gap
2026-08-05T23:06:24+00:00	func_0801E6F8	asm/asm_0801e6f8.s	12.875	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-b/func_0801E6F8.c	isolated_objdiff_gap
2026-08-05T23:06:53+00:00	func_0801E6F8	asm/asm_0801e6f8.s	12.9375	isolated_mismatch	86e66e4211a43452fb978b1b58c10ba03b6b2333	.mizuchi-tmp/round-31-b/func_0801E6F8-v2.c	isolated_objdiff_gap
2026-08-05T23:21:24+00:00	func_0800200C	asm/asm_0800200c.s	42.857143	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_0800200C.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_08002038	asm/asm_08002038.s	33.333336	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_08002038.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_0800207C	asm/asm_0800207c.s	67.5	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_0800207C.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_080020E0	asm/asm_080020e0.s	40.555557	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_080020E0.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_080020FC	asm/asm_080020fc.s	74.0	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_080020FC.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_080039EC	asm/asm_080039ec.s	100.0	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_080039EC.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_08003DE0	asm/asm_08003de0.s	15.71429	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_08003DE0.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_08003FB8	asm/asm_08003fb8.s	50.2	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_08003FB8.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_080041B4	asm/asm_080041b4.s	42.857143	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_080041B4.c	isolated_objdiff_gap
2026-08-05T23:21:25+00:00	func_080047D4	asm/asm_080047d4.s	28.57143	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-a/func_080047D4.c	isolated_objdiff_gap
2026-08-05T23:27:27+00:00	func_0800CDB0	asm/asm_0800cdb0.s	62.923077	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-b/func_0800CDB0.c	isolated_objdiff_gap
2026-08-05T23:28:16+00:00	func_0800CDB0	asm/asm_0800cdb0.s	62.846153	isolated_mismatch	e95388199c85132c5f976205d83ef9c4c9954859	.mizuchi-tmp/round-32-b/func_0800CDB0-v2.c	isolated_objdiff_gap
2026-08-05T23:40:18+00:00	func_0801911C	asm/asm_0801911c.s	9.23077	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-a/func_0801911C.c	isolated_objdiff_gap
2026-08-05T23:40:18+00:00	func_0801913C	asm/asm_0801913c.s	9.23077	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-a/func_0801913C.c	isolated_objdiff_gap
2026-08-05T23:40:18+00:00	func_0801915C	asm/asm_0801915c.s	9.23077	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-a/func_0801915C.c	isolated_objdiff_gap
2026-08-05T23:40:18+00:00	func_08019644	asm/asm_08019644.s	23.64706	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-a/func_08019644.c	isolated_objdiff_gap
2026-08-05T23:41:18+00:00	func_0801911C	asm/asm_0801911c.s	5.0	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-b/func_0801911C.c	isolated_objdiff_gap
2026-08-05T23:41:18+00:00	func_0801913C	asm/asm_0801913c.s	5.0	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-b/func_0801913C.c	isolated_objdiff_gap
2026-08-05T23:41:18+00:00	func_0801915C	asm/asm_0801915c.s	5.0	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-b/func_0801915C.c	isolated_objdiff_gap
2026-08-05T23:41:18+00:00	func_0804E290	asm/asm_0804e290.s	45.22222	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-b/func_0804E290.c	isolated_objdiff_gap
2026-08-05T23:42:03+00:00	func_0804E290	asm/asm_0804e290.s	28.888885	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-c/func_0804E290.c	isolated_objdiff_gap
2026-08-05T23:42:42+00:00	func_0801911C	asm/asm_0801911c.s	4.61539	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-c/func_0801911C.c	isolated_objdiff_gap
2026-08-05T23:42:42+00:00	func_0801913C	asm/asm_0801913c.s	4.61539	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-c/func_0801913C.c	isolated_objdiff_gap
2026-08-05T23:42:42+00:00	func_0801915C	asm/asm_0801915c.s	4.61539	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-c/func_0801915C.c	isolated_objdiff_gap
2026-08-05T23:42:42+00:00	func_0804E290	asm/asm_0804e290.s	6.666664	isolated_mismatch	d3005608b6835173cc777da3d93b10b2686c894d	.mizuchi-tmp/round-33-c/func_0804E290.c	isolated_objdiff_gap
